"quad","tag","dx","dy","dap","dbhcm","alt","fam","gen","species","nfuste","arv_key","status","subquad","xlim","ylim","gx","gy","qx","qy","pom","censo"
"B01",196,14.6,15.4,172,17.2,16,"Myrtaceae","Calyptranthes","Calyptranthes concinna",1,"arv_196.1","A","B01quad_10x15",20,20,34.6,35.4,4.6,0.4,1.3,2019
"B01",197,12.8,16.1,65,6.5,11,"Annonaceae","Guatteria","Guatteria australis",3,"arv_197.1","A","B01quad_10x15",20,20,32.8,36.1,2.8,1.1,1.3,2019
"B01",198,13,14.8,NA,NA,NA,"Lauraceae","Ocotea","Ocotea pulchella",NA,"arv_198.1","M","B01quad_10x10",20,20,33,34.8,3,4.8,1.3,2019
"B01",199,18,19.9,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia pulchra",NA,"arv_199.1","M","B01quad_15x15",20,20,38,39.9,3,4.9,1.3,2019
"B01",200,18,19.5,175,17.5,10,"Arecaceae","Syagrus","Syagrus romanzoffiana",1,"arv_200.1","A","B01quad_15x15",20,20,38,39.5,3,4.5,1.3,2019
"B01",201,17.7,4.4,NA,NA,NA,"Anacardiaceae","Tapirira","Tapirira guianensis",NA,"arv_201.1","M","B01quad_15x0",20,20,37.7,24.4,2.7,4.4,1.3,2019
"B01",202,18.5,16.1,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_202.1","M","B01quad_15x15",20,20,38.5,36.1,3.5,1.1,1.3,2019
"A01",203,1.3,0.7,NA,NA,NA,"Primulaceae","Myrsine","Myrsine venosa",NA,"arv_203.1","M","A01quad_0x0",0,20,1.3,20.7,1.3,0.7,1.3,2019
"A01",204,5.4,3.2,92,9.2,8.5,"Malpighiaceae","Byrsonima","Byrsonima ligustrifolia",1,"arv_204.1","A","A01quad_5x0",0,20,5.4,23.2,0.4,3.2,1.3,2019
"A01",205,7.9,0.6,79,7.9,10,"Malpighiaceae","Byrsonima","Byrsonima ligustrifolia",1,"arv_205.1","A","A01quad_5x0",0,20,7.9,20.6,2.9,0.6,1.3,2019
"A01",210,18.5,3.5,81,8.1,11,"Myrtaceae","Myrcia","Myrcia racemosa",1,"arv_210.1","A","A01quad_15x0",0,20,18.5,23.5,3.5,3.5,1.3,2019
"B01",212,19,12.5,81,8.1,6,"Clusiaceae","Garcinia","Garcinia gardneriana",1,"arv_212.1","A","B01quad_15x10",20,20,39,32.5,4,2.5,1.3,2019
"B01",213,16,11.5,120,12,10,"Myrtaceae","Myrcia","Myrcia pubipetala",1,"arv_213.1","A","B01quad_15x10",20,20,36,31.5,1,1.5,1.3,2019
"B01",214,18,12.5,64,6.4,9,"Myrtaceae","Eugenia","Eugenia sulcata",1,"arv_214.1","A","B01quad_15x10",20,20,38,32.5,3,2.5,1.3,2019
"B01",215,13.5,11.9,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia pubipetala",NA,"arv_215.1","D","B01quad_10x10",20,20,33.5,31.9,3.5,1.9,1.3,2019
"B01",216,6.1,5.6,76,7.6,8,"Myrtaceae","Eugenia","Eugenia sulcata",1,"arv_216.1","A","B01quad_5x5",20,20,26.1,25.6,1.1,0.6,1.3,2019
"B01",218,14.8,5.6,653,65.3,22,"Clusiaceae","Calophyllum","Calophyllum brasiliense",1,"arv_218.1","A","B01quad_10x5",20,20,34.8,25.6,4.8,0.6,1.3,2019
"B01",219,8.9,10.7,86,8.6,9,"Sapotaceae","Pouteria","Pouteria beaurepairei",1,"arv_219.1","A","B01quad_5x10",20,20,28.9,30.7,3.9,0.699999999999999,1.3,2019
"B01",221,5.8,12.1,113,11.3,12,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_221.1","A","B01quad_5x10",20,20,25.8,32.1,0.8,2.1,1.3,2019
"B01",223,5.5,6.5,77,7.7,8,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_223.1","A","B01quad_5x5",20,20,25.5,26.5,0.5,1.5,1.3,2019
"B01",227,0.5,12,102,10.2,11,"Myrtaceae","Eugenia","Eugenia stigmatosa",1,"arv_227.1","A","B01quad_0x10",20,20,20.5,32,0.5,2,1.3,2019
"B01",228,0.1,13.1,72,7.2,8.5,"Myrtaceae","Myrcia","Myrcia hebepetala",1,"arv_228.1","A","B01quad_0x10",20,20,20.1,33.1,0.1,3.1,1.3,2019
"B01",229,0,15,92,9.2,10,"Olacaceae","Heisteria","Heisteria silvianii",1,"arv_229.1","A","B01quad_0x15",20,20,20,35,0,0,1.3,2019
"B01",230,7.1,18.7,102,10.2,10,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_230.1","A","B01quad_5x15",20,20,27.1,38.7,2.1,3.7,1.3,2019
"B01",231,8.5,19,49.9,4.99,9,"Annonaceae","Xylopia","Xylopia langsdorffiana",1,"arv_231.1","A","B01quad_5x15",20,20,28.5,39,3.5,4,1.3,2019
"A01",237,8.8,3.3,192,19.2,13,"Myrtaceae","Neomitranthes","Neomitranthes glomerata",1,"arv_237.1","A","A01quad_5x0",0,20,8.8,23.3,3.8,3.3,1.3,2019
"A01",238,6.5,4.5,78,7.8,8,"Myrtaceae","Myrcia","Myrcia brasiliensis",1,"arv_238.1","A","A01quad_5x0",0,20,6.5,24.5,1.5,4.5,1.3,2019
"A01",239,1,5,58,5.8,9,"Araliaceae","Schefflera","Schefflera angustissima",1,"arv_239.1","A","A01quad_0x5",0,20,1,25,1,0,1.3,2019
"A01",241,7.6,5.4,90,9,10,"Myrtaceae","Myrcia","Myrcia pubipetala",1,"arv_241.1","A","A01quad_5x5",0,20,7.6,25.4,2.6,0.4,1.3,2019
"A01",248,6.8,10.7,NA,NA,NA,"Myrtaceae","Pimenta","Pimenta pseudocaryophyllus",NA,"arv_248.1","M","A01quad_5x10",0,20,6.8,30.7,1.8,0.699999999999999,1.3,2019
"A01",249,1.7,16.1,NA,NA,NA,"Pentaphylacaceae","Ternstroemia","Ternstroemia brasiliensis",NA,"arv_249.1","M","A01quad_0x15",0,20,1.7,36.1,1.7,1.1,1.3,2019
"A01",250,2.3,19.3,400,40,19,"Lauraceae","Ocotea","Ocotea pulchella",1,"arv_250.1","A","A01quad_0x15",0,20,2.3,39.3,2.3,4.3,1.3,2019
"A01",252,5.7,19.6,NA,NA,NA,"Aquifoliaceae","Ilex","Ilex dumosa",NA,"arv_252.1","M","A01quad_5x15",0,20,5.7,39.6,0.7,4.6,1.3,2019
"A01",254,8.9,19.6,NA,NA,NA,"Clusiaceae","Calophyllum","Calophyllum brasiliense",NA,"arv_254.1","M","A01quad_5x15",0,20,8.9,39.6,3.9,4.6,1.3,2019
"C01",255,0.7,1.6,101,10.1,17,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_255.1","A","C01quad_0x0",40,20,40.7,21.6,0.7,1.6,1.3,2019
